satisfaction_level,last_evaluation,number_project,average_monthly_hours,left,cluster,Emp_Id
0.41,0.55,2,161,1,1,IND30883
0.53,0.76,5,132,1,0,IND07503
0.42,0.47,2,139,1,1,IND23634
0.36,0.5,2,131,1,1,IND29392
0.38,0.52,2,161,1,1,IND20269
0.36,0.48,2,152,1,1,IND01457
0.46,0.54,2,138,1,1,IND03279
0.37,0.47,2,159,1,1,IND05000
0.42,0.49,2,153,1,1,IND23367
0.44,0.56,2,156,1,1,IND41473
0.92,0.82,5,265,1,0,IND21031
0.1,0.79,6,301,1,2,IND23549
0.76,1.0,4,220,1,0,IND35048
0.11,0.79,6,247,1,2,IND18256
0.43,0.48,2,136,1,1,IND29942
0.4,0.49,2,160,1,1,IND37051
0.11,0.84,7,310,1,2,IND17929
0.84,0.82,5,240,1,0,IND09217
0.84,0.84,5,238,1,0,IND34644
0.51,0.6,7,243,1,2,IND10692
0.66,0.91,5,248,1,0,IND31536
0.42,0.56,2,137,1,1,IND18546
0.38,0.49,2,155,1,1,IND32308
0.15,0.63,7,229,1,2,IND44032
0.38,0.53,2,140,1,1,IND03854
0.43,0.54,2,156,1,1,IND05337
0.37,0.57,2,147,1,1,IND20438
0.11,0.92,7,293,1,2,IND21268
0.41,0.53,2,157,1,1,IND42969
0.84,0.96,4,247,1,0,IND25205
0.4,0.51,2,148,1,1,IND07764
0.58,0.74,4,215,0,0,IND29359
0.82,0.67,2,202,0,0,IND31942
0.45,0.69,5,193,0,0,IND11478
0.78,0.82,5,247,0,0,IND15900
0.49,0.6,3,214,0,1,IND42342
0.36,0.95,3,206,0,0,IND04660
0.54,0.37,2,176,0,1,IND08315
0.99,0.91,5,136,0,0,IND20080
0.5,0.75,6,127,0,0,IND20656
0.74,0.64,4,268,0,0,IND26299
0.56,0.58,4,258,0,0,IND36096
0.34,0.39,2,136,0,1,IND30026
0.48,0.94,5,255,0,2,IND38314
0.73,0.62,3,218,0,0,IND42047
0.59,0.87,3,268,0,0,IND15039
0.81,0.57,3,224,0,0,IND15232
0.9,0.66,3,231,0,0,IND35455
0.41,0.84,6,191,0,2,IND36211
0.89,0.92,4,165,0,0,IND37344
0.48,0.84,4,252,0,0,IND39324
0.79,0.97,5,266,0,0,IND16298
0.98,0.66,5,248,0,0,IND17304
0.75,0.7,4,144,0,0,IND44530
1.0,0.41,4,174,0,1,IND29639
0.24,0.82,5,179,0,2,IND36449
0.84,0.43,6,246,0,0,IND35911
0.56,0.86,4,201,0,0,IND41387
0.92,0.93,4,208,0,0,IND42466
0.61,0.98,3,267,0,0,IND25334
0.84,0.77,4,262,0,0,IND29542
0.85,0.59,3,235,0,0,IND39568
0.67,0.57,2,160,0,1,IND02983
0.54,0.94,4,267,0,0,IND21931
0.75,0.56,5,175,0,0,IND29139
0.82,0.79,4,224,0,0,IND34314
0.76,0.6,4,177,0,0,IND12704
0.19,0.53,6,191,0,2,IND29526
0.61,0.41,3,138,0,1,IND29040
0.51,0.8,3,218,0,0,IND39986
0.52,0.88,3,179,0,0,IND33505
0.74,0.58,3,241,0,0,IND36912
0.98,0.91,4,240,0,0,IND44980
0.71,0.92,3,202,0,0,IND35469
0.33,0.88,6,260,0,2,IND26377
0.98,0.97,3,196,0,0,IND29517
0.52,0.59,2,176,0,1,IND41739
0.84,0.65,2,140,0,1,IND44443
0.87,0.5,3,242,0,0,IND09521
0.48,0.85,3,279,0,0,IND10531
0.58,0.55,4,202,0,1,IND19320
0.58,0.84,5,228,0,0,IND25953
0.73,0.69,4,171,0,0,IND28801
0.68,0.54,4,153,0,1,IND06454
0.41,0.68,3,165,0,1,IND28244
0.85,0.6,3,182,0,1,IND26091
0.54,0.7,5,239,0,0,IND29785
0.81,0.61,5,231,0,0,IND44259
0.7,0.52,4,255,0,0,IND14951
0.63,0.66,4,237,0,0,IND39793
0.68,0.54,3,251,0,0,IND42266
0.7,0.53,4,178,0,1,IND09346
0.82,0.65,4,148,0,0,IND33129
0.72,0.94,4,240,0,0,IND35149
0.77,0.78,3,269,0,0,IND39494
0.86,0.91,4,147,0,0,IND40198
0.15,0.97,3,198,0,2,IND40697
0.81,0.99,5,143,0,0,IND09457
0.93,0.98,3,238,0,0,IND10094
0.62,0.74,4,213,0,0,IND21554
0.53,0.81,3,226,0,0,IND30947
0.86,0.99,3,169,0,0,IND02206
0.92,0.65,4,238,0,0,IND31196
0.97,0.83,4,202,0,0,IND17018
0.39,0.78,2,205,0,1,IND25659
0.45,0.66,3,111,0,1,IND22578
0.41,0.47,4,104,0,1,IND24487
0.51,0.69,3,212,0,1,IND29569
0.74,0.62,4,236,0,0,IND30038
0.69,0.57,5,245,0,0,IND0140
0.84,0.64,4,267,0,0,IND08404
0.69,0.66,5,106,0,1,IND29076
0.93,0.53,5,198,0,0,IND29162
0.33,0.45,6,239,0,2,IND37083
0.25,0.65,5,220,0,2,IND25285
0.63,0.59,5,224,0,0,IND07249
0.81,0.62,3,100,0,1,IND10076
0.12,0.87,4,244,0,2,IND32971
0.52,0.66,4,139,0,1,IND23791
0.57,0.51,2,152,0,1,IND14665
0.84,0.58,4,208,0,0,IND0343
0.6,0.95,5,205,0,0,IND18800
0.73,0.44,2,194,0,1,IND22889
0.2,0.58,3,209,0,1,IND27396
0.58,0.9,3,212,0,0,IND33415
0.48,0.56,2,151,0,1,IND07888
0.54,0.67,4,282,0,0,IND09008
0.86,1.0,4,256,0,0,IND28748
0.94,0.83,2,185,0,0,IND23600
0.76,0.74,5,132,0,0,IND40989
0.61,0.95,5,233,0,0,IND38361
0.56,0.94,4,215,0,0,IND30568
1.0,0.74,3,220,0,0,IND25996
0.15,0.53,6,222,0,2,IND14478
0.19,0.58,5,182,0,2,IND38026
0.17,0.73,5,258,0,2,IND43693
0.71,0.57,3,209,0,1,IND27909
0.86,0.79,3,242,0,0,IND30695
0.59,0.88,4,155,0,0,IND34434
0.74,0.76,5,104,0,0,IND07408
0.98,0.92,4,201,0,0,IND42398
0.93,0.75,5,143,0,0,IND03508
1.0,0.92,5,161,0,0,IND12643
0.59,0.81,4,200,0,0,IND08133
0.98,0.55,4,255,0,0,IND20016
0.35,0.5,5,227,0,2,IND11402
0.42,0.96,3,270,0,0,IND09782
0.61,0.85,5,230,0,0,IND38754
0.78,0.72,5,270,0,0,IND44087
0.93,0.52,4,200,0,0,IND13236
0.5,0.95,5,207,0,0,IND37551
0.67,0.51,5,182,0,1,IND19599
0.75,0.85,4,234,0,0,IND26398
0.79,0.51,4,237,0,0,IND40102
0.84,0.89,4,187,0,0,IND10193
0.72,0.5,3,257,0,0,IND20699
0.57,0.48,2,194,0,1,IND29335
0.73,0.52,4,162,0,1,IND37030
0.74,0.58,4,148,0,1,IND37903
0.52,0.83,4,210,0,0,IND02470
0.56,0.76,3,213,0,0,IND25056
0.76,0.68,4,189,0,0,IND29886
0.82,0.93,4,185,0,0,IND29838
0.76,0.83,3,186,0,0,IND31542
0.62,0.59,3,128,0,1,IND01604
0.48,0.8,4,268,0,0,IND33364
0.64,0.77,3,213,0,0,IND21925
0.74,0.82,4,142,0,0,IND08799
0.52,0.43,2,199,0,1,IND17092
0.67,0.5,4,157,0,1,IND17659
0.71,0.76,5,172,0,0,IND39154
0.72,0.63,3,176,0,1,IND44782
0.33,0.58,2,183,0,1,IND02478
0.91,0.56,4,270,0,0,IND27787
0.88,0.68,5,157,0,0,IND20882
0.96,0.6,4,185,0,0,IND35940
0.97,0.68,3,167,0,0,IND04894
0.27,0.59,5,226,0,2,IND12392
0.65,0.64,3,223,0,0,IND12982
0.68,0.73,3,257,0,0,IND0771
0.68,0.46,4,143,0,1,IND10676
0.69,0.74,3,215,0,0,IND30021
0.79,0.99,3,194,0,0,IND16263
0.74,0.92,5,193,0,0,IND18469
0.8,0.83,3,163,0,0,IND10523
0.38,0.94,5,252,0,2,IND11652
0.26,0.83,3,168,0,1,IND37874
0.81,0.86,3,231,0,0,IND05902
0.67,0.54,2,141,0,1,IND08104
0.55,0.81,4,260,0,0,IND22361
0.87,0.71,3,132,0,1,IND04123
0.46,0.69,2,159,0,1,IND0235
0.63,0.57,4,177,0,1,IND01720
0.54,0.96,4,248,0,0,IND13298
1.0,0.49,3,185,0,1,IND20063
0.97,0.66,4,149,0,0,IND29805
0.9,0.92,3,152,0,0,IND39093
0.75,0.7,3,129,0,1,IND40220
0.92,0.84,4,208,0,0,IND05677
0.8,0.94,4,136,0,0,IND27183
0.57,0.81,3,142,0,1,IND02695
0.81,0.94,3,225,0,0,IND04018
0.64,0.6,3,143,0,1,IND26441
0.71,0.54,4,215,0,0,IND32924
0.35,0.58,3,229,0,1,IND23546
0.88,0.81,5,193,0,0,IND37634
0.13,0.59,5,160,0,2,IND38996
0.82,0.73,4,195,0,0,IND23826
0.17,0.92,4,189,0,2,IND44546
0.21,0.82,4,207,0,2,IND28192
0.89,0.47,4,108,0,1,IND31187
0.2,0.72,6,224,0,2,IND36272
0.99,0.81,5,180,0,0,IND31670
0.26,0.85,6,152,0,2,IND44858
0.22,0.53,4,244,0,2,IND25823
0.79,0.84,3,176,0,0,IND35285
0.73,0.79,4,145,0,0,IND26543
0.83,0.54,3,149,0,1,IND12998
0.42,0.54,3,122,0,1,IND22954
0.18,0.8,2,110,0,1,IND43946
0.92,0.91,4,222,0,0,IND04348
0.87,0.52,3,237,0,0,IND16500
0.72,0.65,4,224,0,0,IND29177
0.64,0.58,5,115,0,1,IND32667
1.0,0.66,4,180,0,0,IND13263
0.83,0.65,4,162,0,0,IND36434
0.98,0.58,4,136,0,1,IND24739
0.7,0.87,3,260,0,0,IND11229
0.9,0.79,4,150,0,0,IND37191
0.55,0.99,4,248,0,0,IND16871
0.78,0.84,3,233,0,0,IND23615
0.89,0.53,5,272,0,0,IND26737
0.17,0.59,3,197,0,1,IND27455
0.14,0.64,5,164,0,2,IND03845
0.85,0.57,4,216,0,0,IND14440
0.84,0.79,4,266,0,0,IND20216
0.7,0.69,3,102,0,1,IND11170
0.16,0.98,5,284,0,2,IND21049
0.51,0.69,3,145,0,1,IND25726
0.6,0.89,3,167,0,0,IND34004
0.5,0.63,3,172,0,1,IND17558
0.43,0.39,5,198,0,1,IND33913
0.5,0.7,4,201,0,0,IND42652
0.91,0.89,4,197,0,0,IND01707
0.65,0.93,4,270,0,0,IND13595
0.59,0.52,2,149,0,1,IND01974
0.89,0.56,3,256,0,0,IND14348
0.97,0.6,3,162,0,1,IND19905
0.56,0.97,5,163,0,0,IND36277
0.76,0.93,3,266,0,0,IND14913
0.28,0.55,4,208,0,1,IND38507
0.75,0.51,4,138,0,1,IND17003
0.78,0.81,4,232,0,0,IND20456
0.26,0.63,6,100,0,1,IND04458
0.53,0.72,2,172,0,1,IND06092
0.25,0.41,3,133,0,1,IND12294
0.82,0.51,3,234,0,0,IND12391
0.71,0.57,2,183,0,1,IND31270
0.61,0.95,4,174,0,0,IND38915
0.89,0.68,3,175,0,0,IND01601
0.57,0.78,3,109,0,1,IND01348
0.93,0.8,4,248,0,0,IND05350
0.61,0.84,5,104,0,0,IND10377
0.56,0.62,3,154,0,1,IND16366
0.7,0.89,6,214,0,0,IND43584
0.9,0.64,4,209,0,0,IND14300
0.15,0.74,6,212,0,2,IND10019
0.39,0.36,3,168,0,1,IND029
0.74,0.72,4,176,0,0,IND16428
0.7,0.61,4,163,0,1,IND34194
0.72,0.93,4,148,0,0,IND03102
0.61,0.97,3,137,0,0,IND13282
0.96,1.0,5,162,0,0,IND14600
0.7,0.59,4,216,0,0,IND37065
0.92,0.49,3,240,0,0,IND05039
0.72,0.56,4,176,0,1,IND27167
0.53,0.75,6,192,0,2,IND01564
0.67,0.85,3,160,0,0,IND45016
0.78,0.8,4,194,0,0,IND14353
0.53,0.75,4,239,0,0,IND34895
0.9,0.48,4,204,0,0,IND44575
0.16,0.9,5,258,0,2,IND02751
0.62,0.38,3,257,0,1,IND26432
0.62,0.98,4,137,0,0,IND36254
0.22,0.52,6,175,0,2,IND01241
0.91,0.82,3,183,0,0,IND17140
0.87,0.74,4,190,0,0,IND27293
0.95,0.69,3,225,0,0,IND14438
0.99,0.75,3,215,0,0,IND05658
0.99,0.57,3,176,0,0,IND31848
0.77,0.99,4,153,0,0,IND36697
0.75,0.68,3,150,0,1,IND28926
0.83,0.54,4,259,0,0,IND39162
0.61,0.39,3,99,0,1,IND01367
0.91,0.97,3,167,0,0,IND06882
0.47,0.64,3,192,0,1,IND26652
0.77,0.61,5,146,0,0,IND14093
0.55,0.51,3,190,0,1,IND04655
0.32,0.48,5,246,0,2,IND04553
0.96,0.67,6,190,0,0,IND14391
0.72,0.79,5,260,0,0,IND35863
0.8,0.9,4,136,0,0,IND01127
0.61,0.55,4,231,0,0,IND26032
0.97,0.88,3,204,0,0,IND29868
0.63,0.93,4,201,0,0,IND03920
0.92,0.92,3,159,0,0,IND05087
0.94,0.74,5,171,0,0,IND13992
0.79,0.72,6,240,0,0,IND30214
0.75,0.73,2,152,0,1,IND37389
0.78,0.99,3,151,0,0,IND05987
0.96,0.45,6,232,0,0,IND31201
0.65,0.68,4,128,0,1,IND39735
0.18,0.94,3,187,0,2,IND26162
0.94,0.51,3,160,0,1,IND37693
0.84,0.79,4,259,0,0,IND40474
0.67,0.54,2,136,0,1,IND16164
0.71,0.5,4,253,0,0,IND20364
0.56,0.64,3,260,0,0,IND28731
0.29,0.56,5,231,0,2,IND34013
0.47,0.9,3,101,0,1,IND03211
0.4,0.69,2,174,0,1,IND04452
0.81,0.82,4,167,0,0,IND08279
0.96,0.99,3,148,0,0,IND28049
0.99,0.75,6,139,0,0,IND19588
0.75,0.77,4,136,0,0,IND35943
0.75,0.74,4,153,0,0,IND39400
1.0,0.86,4,161,0,0,IND39981
0.52,0.53,2,163,0,1,IND44347
0.98,0.74,3,164,0,0,IND03432
0.6,0.64,2,137,0,1,IND09618
0.38,0.44,3,137,0,1,IND39087
0.51,0.41,6,106,0,1,IND39379
0.91,0.61,2,272,0,0,IND16225
0.56,0.62,5,238,0,0,IND21202
0.58,0.69,4,223,0,0,IND30821
0.51,0.53,3,201,0,1,IND32171
0.91,0.55,6,97,0,1,IND04701
0.8,0.98,2,232,0,0,IND35643
0.55,0.83,4,199,0,0,IND13827
0.62,0.53,3,141,0,1,IND14529
0.62,0.6,3,171,0,1,IND24952
0.87,0.58,4,212,0,0,IND43019
0.65,0.5,5,270,0,0,IND44635
0.51,0.64,3,267,0,0,IND10083
0.98,0.77,3,134,0,0,IND10435
0.13,0.43,4,165,0,1,IND31347
0.78,0.76,5,168,0,0,IND42244
0.6,0.98,3,262,0,0,IND43113
0.68,0.69,3,185,0,1,IND20799
0.55,0.84,3,237,0,0,IND20147
0.99,0.79,4,192,0,0,IND22011
0.92,0.68,5,236,0,0,IND31372
1.0,0.65,4,202,0,0,IND31661
0.77,0.93,4,171,0,0,IND41202
0.86,0.7,5,160,0,0,IND33793
0.89,0.84,2,252,0,0,IND0830
0.58,0.55,5,206,0,0,IND06259
0.56,0.66,3,212,0,1,IND22272
0.38,0.64,3,111,0,1,IND23581
0.62,0.64,3,240,0,0,IND27451
0.66,0.77,2,171,0,1,IND20421
0.3,0.44,3,129,0,1,IND33154
0.82,0.83,3,271,0,0,IND08899
0.96,0.68,4,162,0,0,IND18567
0.66,0.95,3,191,0,0,IND27594
0.79,0.5,5,176,0,0,IND33266
0.97,0.77,3,182,0,0,IND05836
0.59,0.65,3,226,0,0,IND08177
0.57,0.48,4,161,0,1,IND30644
0.64,0.53,4,163,0,1,IND0627
0.14,0.51,5,173,0,1,IND38634
0.48,0.55,3,228,0,1,IND01794
0.78,1.0,3,139,0,0,IND19725
0.96,0.62,5,128,0,0,IND11537
0.82,0.97,3,115,0,0,IND16462
0.94,0.9,5,191,0,0,IND44868
0.95,0.66,4,183,0,0,IND21209
0.59,0.43,3,173,0,1,IND26134
0.69,0.89,4,174,0,0,IND39531
0.74,0.72,3,213,0,0,IND34159
0.67,0.67,4,192,0,0,IND29203
0.83,0.52,3,167,0,1,IND41131
0.81,0.85,3,263,0,0,IND06046
0.54,0.73,2,100,0,1,IND16498
0.89,0.83,3,164,0,0,IND01030
0.79,0.74,5,172,0,0,IND12286
0.46,0.58,4,171,0,1,IND32694
0.99,0.93,4,236,0,0,IND18545
0.75,0.9,5,186,0,0,IND36909
0.93,0.82,4,175,0,0,IND40480
0.65,0.6,5,227,0,0,IND30203
0.19,0.63,4,142,0,1,IND23088
0.48,0.61,2,121,0,1,IND02190
0.95,0.64,5,234,0,0,IND05221
0.92,0.77,4,185,0,0,IND0803
0.84,0.54,4,160,0,1,IND29964
0.37,0.63,4,153,0,1,IND30168
0.22,0.74,3,199,0,1,IND02646
0.64,0.54,3,166,0,1,IND17265
0.72,0.88,2,247,0,0,IND26907
0.48,0.69,4,245,0,0,IND44999
0.12,0.55,5,242,0,2,IND18747
0.78,0.98,5,158,0,0,IND37102
0.71,0.74,3,163,0,1,IND08931
0.38,0.69,3,99,0,1,IND22225
0.57,0.85,4,164,0,0,IND37930
0.72,0.51,3,160,0,1,IND08708
0.6,0.57,2,184,0,1,IND28577
0.61,0.55,5,266,0,0,IND41924
0.67,0.64,4,190,0,0,IND02407
0.97,0.97,5,192,0,0,IND08636
0.22,0.6,3,205,0,1,IND21766
0.15,0.53,4,205,0,1,IND39307
0.6,0.6,3,258,0,0,IND41497
0.15,0.8,5,151,0,2,IND43590
0.5,0.81,3,148,0,1,IND10819
0.9,0.67,3,179,0,0,IND32043
0.84,0.51,6,141,0,0,IND05233
0.74,0.78,5,216,0,0,IND02193
0.72,0.51,3,235,0,1,IND44975
0.93,0.63,3,160,0,1,IND32541
0.54,0.69,3,141,0,1,IND02866
0.87,0.65,4,246,0,0,IND07290
0.19,0.98,5,226,0,2,IND26951
0.33,0.4,4,212,0,1,IND14244
0.94,0.93,4,220,0,0,IND15252
0.77,0.49,4,266,0,0,IND11374
0.48,0.82,3,183,0,0,IND21565
0.7,0.74,5,263,0,0,IND22035
0.54,0.93,4,161,0,0,IND31148
0.61,0.98,4,199,0,0,IND32024
0.97,0.4,4,258,0,0,IND36220
0.6,0.85,3,209,0,0,IND18344
0.93,0.84,5,135,0,0,IND16976
0.48,0.69,4,222,0,0,IND30316
0.16,0.76,5,192,0,2,IND24569
0.18,0.75,3,250,0,2,IND43508
0.84,0.75,3,187,0,0,IND33989
0.69,0.63,4,217,0,0,IND04762
0.22,0.88,4,213,0,2,IND04572
0.83,0.52,4,273,0,0,IND38073
0.58,0.5,2,132,0,1,IND43730
0.61,0.62,4,140,0,1,IND05821
0.67,0.5,4,173,0,1,IND15278
0.56,0.76,4,189,0,0,IND14041
0.74,0.74,3,156,0,1,IND24816
0.92,0.97,4,238,0,0,IND29020
0.81,0.68,5,230,0,0,IND29572
0.48,0.49,4,242,0,1,IND23803
0.73,0.72,4,197,0,0,IND42035
0.97,0.66,6,164,0,0,IND06012
0.15,0.51,6,248,0,2,IND23680
0.69,0.76,5,255,0,0,IND24428
0.61,0.68,5,225,0,0,IND18327
0.86,0.58,3,151,0,1,IND08856
0.55,0.88,4,252,0,0,IND17508
0.9,0.74,4,206,0,0,IND01089
0.65,0.4,2,141,0,1,IND09918
0.81,0.92,5,259,0,0,IND27934
0.65,0.86,5,250,0,0,IND36099
0.47,0.86,4,169,0,0,IND28658
0.93,0.53,3,200,0,0,IND38284
0.77,0.9,4,104,0,0,IND02587
0.87,0.82,6,176,0,0,IND25511
0.87,0.84,5,137,0,0,IND36390
0.65,0.75,2,151,0,1,IND35779
0.21,0.7,6,130,0,2,IND09511
0.75,0.59,4,199,0,0,IND13585
0.72,0.86,4,191,0,0,IND10275
0.88,0.63,3,273,0,0,IND33434
0.66,0.58,3,205,0,1,IND09734
0.8,0.75,3,181,0,0,IND13204
0.22,0.55,4,261,0,2,IND26029
0.92,0.69,3,192,0,0,IND38570
0.54,0.77,4,271,0,0,IND13961
0.91,0.56,4,158,0,1,IND32244
0.77,0.83,4,231,0,0,IND33867
0.61,0.51,3,156,0,1,IND37587
0.48,0.9,4,201,0,0,IND14647
0.25,0.69,3,187,0,1,IND25399
0.91,0.7,3,132,0,1,IND28579
0.72,0.58,5,147,0,1,IND14510
0.77,0.71,4,223,0,0,IND42962
0.41,0.4,2,194,0,1,IND17989
0.51,0.49,4,234,0,1,IND23728
0.72,0.79,3,149,0,0,IND36579
0.47,0.57,3,162,0,1,IND04306
0.53,0.67,4,238,0,0,IND35020
0.65,0.52,5,149,0,1,IND15345
0.18,0.75,4,170,0,1,IND21334
0.61,0.48,3,250,0,1,IND03610
0.86,0.72,4,167,0,0,IND13291
0.14,0.77,4,166,0,2,IND41835
0.63,0.8,3,205,0,0,IND32863
0.79,0.57,3,250,0,0,IND18608
0.78,0.97,4,142,0,0,IND01862
0.14,0.52,4,217,0,1,IND20886
0.85,0.54,3,139,0,1,IND43010
0.85,0.75,4,139,0,0,IND0861
0.91,0.76,5,152,0,0,IND20578
0.76,0.74,3,224,0,0,IND22967
0.62,0.72,5,180,0,0,IND39581
0.53,0.69,4,216,0,0,IND17964
0.97,0.63,3,133,0,1,IND29745
0.48,0.53,4,271,0,0,IND39750
0.5,0.55,4,148,0,1,IND35658
0.32,0.42,2,99,0,1,IND17005
0.58,0.77,4,196,0,0,IND22539
0.81,0.83,3,196,0,0,IND23571
0.48,0.84,4,228,0,0,IND20960
0.96,0.88,4,165,0,0,IND06205
0.56,0.9,3,235,0,0,IND23308
0.63,0.96,4,167,0,0,IND38435
0.21,0.5,5,255,0,2,IND07793
0.94,0.78,3,184,0,0,IND10835
0.94,0.89,4,239,0,0,IND29907
0.96,0.54,3,153,0,1,IND34847
0.49,0.5,4,187,0,1,IND37606
0.82,0.68,2,285,0,0,IND42474
0.6,0.5,3,274,0,0,IND43366
0.76,0.5,3,156,0,1,IND08236
0.69,0.64,5,265,0,0,IND21413
1.0,0.94,4,144,0,0,IND34241
0.62,0.66,4,143,0,1,IND44655
0.4,0.99,4,214,0,0,IND17618
0.94,0.91,3,163,0,0,IND01393
0.76,0.84,4,236,0,0,IND28396
0.58,0.69,3,146,0,1,IND15799
0.85,0.78,4,106,0,0,IND24871
0.45,0.52,2,105,0,1,IND27959
0.13,0.67,3,181,0,1,IND08429
0.24,0.5,5,174,0,1,IND05327
0.64,0.69,3,207,0,0,IND0181
0.63,0.61,6,118,0,1,IND16981
0.61,0.99,4,251,0,0,IND32079
0.71,0.99,2,136,0,0,IND37365
0.9,0.89,5,249,0,0,IND22739
0.17,0.76,4,171,0,1,IND0527
0.93,0.97,3,256,0,0,IND04524
0.83,0.89,5,141,0,0,IND12623
0.58,0.75,4,186,0,0,IND14217
0.76,0.5,3,258,0,0,IND20872
0.5,0.78,3,228,0,0,IND24489
0.22,0.81,5,205,0,2,IND39043
0.9,0.88,4,174,0,0,IND34901
0.7,0.63,3,155,0,1,IND07441
0.73,0.85,5,245,0,0,IND19283
0.84,0.87,3,271,0,0,IND22701
0.55,0.63,5,184,0,0,IND24044
0.63,0.98,4,175,0,0,IND38528
0.51,0.92,3,224,0,0,IND04686
0.81,0.76,4,177,0,0,IND29984
0.8,0.96,4,268,0,0,IND37942
0.99,0.97,4,208,0,0,IND38205
0.9,0.87,5,219,0,0,IND42786
0.65,0.67,5,128,0,1,IND44081
0.75,0.75,3,273,0,0,IND09664
0.62,0.49,4,218,0,1,IND14803
0.61,0.63,5,230,0,0,IND40429
0.24,0.6,4,195,0,1,IND10975
0.71,0.63,3,254,0,0,IND41765
0.49,0.8,2,275,0,0,IND02127
0.44,0.66,3,162,0,1,IND21317
0.75,0.87,4,193,0,0,IND12943
0.74,0.84,3,239,0,0,IND24574
0.62,0.87,5,149,0,0,IND27248
0.51,0.58,3,155,0,1,IND31838
0.61,0.59,5,271,0,0,IND35616
0.56,0.49,5,163,0,1,IND39474
0.79,0.76,3,160,0,0,IND13645
0.68,0.75,6,274,0,0,IND36377
0.9,0.84,2,199,0,0,IND0621
0.83,0.93,5,241,0,0,IND08611
0.94,0.82,3,187,0,0,IND14906
0.21,0.65,5,223,0,2,IND16231
0.58,0.87,3,268,0,0,IND18452
0.52,0.38,6,169,0,1,IND18190
0.18,0.67,5,285,0,2,IND42403
0.94,0.91,5,254,0,0,IND29190
0.69,0.5,3,208,0,1,IND22497
0.65,0.83,4,218,0,0,IND19927
0.46,0.62,2,187,0,1,IND23519
0.72,0.62,4,256,0,0,IND04517
0.3,0.37,6,278,0,2,IND10612
0.51,0.51,4,204,0,1,IND13769
0.43,0.75,3,108,0,1,IND33044
0.56,0.94,3,226,0,0,IND18054
0.63,0.91,4,246,0,0,IND28023
0.61,0.55,5,260,0,0,IND29061
0.53,0.73,4,248,0,0,IND32042
0.87,0.75,3,132,0,1,IND01195
0.68,0.7,4,185,0,0,IND32215
0.78,0.84,3,269,0,0,IND38805
0.49,0.95,4,156,0,0,IND39363
0.96,0.81,3,212,0,0,IND12358
0.83,0.74,3,221,0,0,IND28519
0.48,0.67,5,273,0,2,IND34992
0.63,0.86,4,271,0,0,IND08005
0.87,0.38,4,183,0,1,IND31003
0.21,0.9,4,271,0,2,IND43664
0.79,0.58,5,165,0,0,IND36766
0.8,0.96,3,257,0,0,IND04042
0.78,0.82,4,143,0,0,IND05191
0.67,0.65,5,156,0,0,IND24300
0.67,0.71,3,190,0,0,IND15442
0.26,0.67,2,242,0,1,IND12432
0.89,0.83,5,267,0,0,IND22075
0.7,0.53,4,152,0,1,IND43434
0.51,0.48,5,136,0,1,IND33458
0.53,0.88,3,157,0,0,IND14469
0.76,0.51,4,281,0,0,IND43698
0.86,0.93,5,208,0,0,IND01756
0.63,0.96,5,152,0,0,IND11934
0.58,0.86,5,271,0,0,IND16232
0.58,0.83,4,163,0,0,IND18097
0.9,0.82,4,136,0,0,IND30728
0.79,0.57,4,233,0,0,IND33541
0.8,0.74,4,221,0,0,IND0145
0.53,0.65,2,189,0,1,IND40296
0.52,0.84,2,226,0,0,IND07864
0.82,0.59,5,201,0,0,IND30759
0.68,0.9,2,133,0,1,IND38351
0.21,0.61,3,173,0,1,IND07031
0.81,0.5,4,152,0,1,IND43340
0.57,0.9,3,256,0,0,IND44350
0.99,0.72,3,119,0,1,IND02147
0.9,1.0,4,207,0,0,IND38687
0.76,0.64,3,189,0,1,IND30011
0.56,0.92,4,172,0,0,IND26163
0.5,0.93,6,150,0,2,IND03047
0.48,0.89,5,179,0,0,IND33681
0.99,0.97,3,257,0,0,IND0127
0.76,0.8,5,229,0,0,IND26533
0.93,0.97,4,227,0,0,IND30580
0.99,0.78,4,140,0,0,IND0423
0.85,0.78,4,251,0,0,IND34741
0.63,0.95,4,137,0,0,IND37223
0.63,0.78,3,153,0,1,IND42042
0.5,0.65,5,242,0,2,IND16910
0.52,0.57,3,150,0,1,IND35434
0.63,0.99,3,247,0,0,IND40803
0.78,0.5,4,212,0,0,IND07972
0.98,0.53,3,234,0,0,IND25551
0.14,1.0,5,174,0,2,IND19299
0.7,0.9,3,225,0,0,IND19388
0.88,0.6,4,224,0,0,IND19409
0.72,0.62,3,270,0,0,IND12076
0.88,0.51,4,139,0,1,IND17745
0.71,0.51,3,248,0,0,IND26547
0.6,0.85,3,172,0,0,IND33092
0.88,0.86,4,224,0,0,IND21778
0.55,0.72,5,232,0,0,IND43617
0.85,0.55,4,260,0,0,IND08948
0.84,0.51,2,117,0,1,IND09334
0.91,0.61,4,243,0,0,IND03681
0.82,0.62,4,202,0,0,IND09557
0.6,0.91,2,168,0,0,IND43046
0.89,0.71,5,194,0,0,IND06037
0.6,0.97,4,219,0,0,IND19922
0.64,0.52,4,207,0,1,IND40914
0.93,0.88,4,177,0,0,IND07429
0.81,0.99,3,239,0,0,IND23473
0.31,0.49,4,165,0,1,IND30127
0.68,0.69,4,225,0,0,IND17846
